N	Wortform	Lemma	POS	Datum	Frequenz	Frequenz (rel.)
1	impfstoffkombinationen	impfstoffkombinationen	NN	2021-02-04	1	10.9231122131318
1	impfstoffkombinationen	impfstoffkombinationen	NN	2021-08-10	1	11.3965308959953
1	impfverzögerungen	impfverzögerungen	NN	2021-02-04	5	54.6155610656588
1	impfverzögerungen	impfverzögerungen	NN	2021-03-12	1	14.1268877053696
1	impfbevorzugung	impfbevorzugung	NN	2021-02-04	2	21.8462244262635
1	impffolge	impffolge	NN	2021-02-06	1	17.1297406557265
1	impffolge	impffolge	NN	2021-02-26	1	11.7401206884407
1	impffolge	impffolge	NN	2021-06-02	1	11.4081020340646
1	impffolge	impffolge	NN	2021-07-19	1	11.8743691741376
1	impfstoffbedarf	impfstoffbedarf	NN	2021-02-06	2	34.2594813114529
1	impfstoffbedarf	impfstoffbedarf	NN	2021-03-31	1	11.8439909511909
1	impfstoffbedarf	impfstoffbedarf	NN	2021-05-28	1	10.8675570818436
1	impfaffäre	impfaffäre	NN	2021-02-08	1	10.8581169853524
1	impfaffäre	impfaffäre	NN	2021-02-09	3	32.1267937459842
1	impfaffäre	impfaffäre	NN	2021-02-15	2	23.6563209689629
1	impfaffäre	impfaffäre	NN	2021-02-16	2	21.2149820203027
1	impfaffäre	impfaffäre	NN	2021-02-17	4	41.0559592724884
1	impfaffäre	impfaffäre	NN	2021-02-22	8	87.4326495371534
1	impfaffäre	impfaffäre	NN	2021-02-24	6	66.299075127902
1	impfaffäre	impfaffäre	NN	2021-03-08	1	11.6626236238104
1	impfaffäre	impfaffäre	NN	2021-03-11	3	39.6468784691019
1	impfaffäre	impfaffäre	NN	2021-03-15	4	47.6354932059878
1	impfaffäre	impfaffäre	NN	2021-03-22	3	34.7137848439615
1	impfaffäre	impfaffäre	NN	2021-04-07	9	109.610395937108
1	impfaffäre	impfaffäre	NN	2021-04-08	2	24.0621766645011
1	impfaffäre	impfaffäre	NN	2021-05-03	1	12.32741617357
1	impfaffäre	impfaffäre	NN	2021-06-15	10	103.299382269694
1	impfaffäre	impfaffäre	NN	2021-08-10	1	11.3965308959953
1	impfaffäre	impfaffäre	NN	2021-08-11	1	11.3310595673801
1	impfdrama	impfdrama	NN	2021-02-08	1	10.8581169853524
1	impfdrama	impfdrama	NN	2021-04-04	2	40.9987290393998
1	impfstoffreste	impfstoffreste	NN	2021-02-08	1	10.8581169853524
1	impfstoffreste	impfstoffreste	NN	2021-03-08	3	34.9878708714312
1	impfstoffreste	impfstoffreste	NN	2021-04-30	1	10.4474649226365
1	impfstoffreste	impfstoffreste	NN	2021-05-01	1	17.7594657952689
1	impfstoffreste	impfstoffreste	NN	2021-05-03	1	12.32741617357
1	impfstoffreste	impfstoffreste	NN	2021-08-12	1	11.6077957956564
1	impfstoffwahl	impfstoffwahl	NN	2021-02-20	2	34.0593654740212
1	impfstoffwahl	impfstoffwahl	NN	2021-04-10	2	36.2726250498749
1	impfstoffwahl	impfstoffwahl	NN	2021-06-26	1	16.0217896339021
1	impfstoffwahl	impfstoffwahl	NN	2021-06-28	4	43.5502133960456
1	impfstoffwahl	impfstoffwahl	NN	2021-07-05	1	11.8122327482341
1	impfstoffwahl	impfstoffwahl	NN	2021-08-02	6	66.5934139113642
