N	Wortform	Lemma	POS	Datum	Frequenz	Frequenz (rel.)
3	impfung für anfang	impfung für anfang	NN APPR NN	2020-08-19	1	13.0367898208745
3	impfung für erzieher	impfung für erzieher	NN APPR NN	2020-09-03	1	12.7586822832938
3	impfung für erzieher	impfung für erzieher	NN APPR NN	2021-02-22	1	13.3704139480158
3	impfungen für lehrer	impfung für lehrer	NN APPR NN	2020-09-03	1	12.7586822832938
3	impfungen für lehrer	impfung für lehrer	NN APPR NN	2020-12-15	1	15.5777798548151
3	impfungen für lehrer	impfung für lehrer	NN APPR NN	2021-01-19	2	25.6884504726675
3	impfungen für lehrer	impfung für lehrer	NN APPR NN	2021-02-11	2	30.9052137095528
3	impfungen für lehrer	impfung für lehrer	NN APPR NN	2021-02-16	7	90.3797239545003
3	impfungen für lehrer	impfung für lehrer	NN APPR NN	2021-02-21	1	20.341327475031
3	impfungen für lehrer	impfung für lehrer	NN APPR NN	2021-02-22	8	106.963311584127
3	impfungen für lehrer	impfung für lehrer	NN APPR NN	2021-02-23	6	77.724234416291
3	impfungen für lehrer	impfung für lehrer	NN APPR NN	2021-03-08	1	14.2641143411406
3	impfungen für lehrer	impfung für lehrer	NN APPR NN	2021-03-15	2	29.1247997670016
3	impfungen für lehrer	impfung für lehrer	NN APPR NN	2021-03-26	2	26.774120135477
3	impfungen für lehrer	impfung für lehrer	NN APPR NN	2021-04-25	1	21.2345783874461
3	impfungen für lehrer	impfung für lehrer	NN APPR NN	2021-04-29	1	12.6681699561681
3	impfung für kinder	impfung für kind	NN APPR NN	2020-04-28	1	13.567784652122
3	impfung für kinder	impfung für kind	NN APPR NN	2021-02-08	1	13.2835642459585
3	impfung für kinder	impfung für kind	NN APPR NN	2021-03-26	1	13.3870600677385
3	impfung für kinder	impfung für kind	NN APPR NN	2021-04-01	1	15.0802268066112
3	impfung für kinder	impfung für kind	NN APPR NN	2021-04-16	1	15.4249575813667
3	impfung für kinder	impfung für kind	NN APPR NN	2021-04-26	2	27.8121566936908
3	impfung für kinder	impfung für kind	NN APPR NN	2021-04-27	1	13.5884335253832
3	impfung für kinder	impfung für kind	NN APPR NN	2021-04-30	2	25.7881503449165
3	impfung für kinder	impfung für kind	NN APPR NN	2021-05-04	1	13.0407000247773
3	impfung für kinder	impfung für kind	NN APPR NN	2021-05-06	2	25.9440387085058
3	impfung für kinder	impfung für kind	NN APPR NN	2021-05-07	1	13.8962230065868
3	impfung für kinder	impfung für kind	NN APPR NN	2021-05-26	1	13.0619922150526
3	impfung für kinder	impfung für kind	NN APPR NN	2021-05-27	9	112.656310631001
3	impfung für kinder	impfung für kind	NN APPR NN	2021-05-28	2	26.6460603799728
3	impfung für kinder	impfung für kind	NN APPR NN	2021-06-02	5	69.8002317367694
3	impfung für kinder	impfung für kind	NN APPR NN	2021-06-12	1	23.204009652868
3	impfung für kinder	impfung für kind	NN APPR NN	2021-06-13	2	38.1504654356783
3	impfung für kinder	impfung für kind	NN APPR NN	2021-06-15	2	25.3848985238682
3	impfung für kinder	impfung für kind	NN APPR NN	2021-07-02	1	13.6789549278435
3	impfung für kinder	impfung für kind	NN APPR NN	2021-07-28	2	26.7920534769387
3	impfung für kinder	impfung für kind	NN APPR NN	2021-07-30	1	13.2844465699559
3	impfung für kinder	impfung für kind	NN APPR NN	2021-08-02	1	13.6327075920549
3	impfung für kinder	impfung für kind	NN APPR NN	2021-08-03	1	13.7048254690477
3	impfung für kinder	impfung für kind	NN APPR NN	2021-08-04	1	14.2401458190932
3	impfung für kinder	impfung für kind	NN APPR NN	2021-08-10	1	14.027999887776
3	impfung für kinder	impfung für kind	NN APPR NN	2021-08-16	3	44.0884708648688
3	impfung für kinder	impfung für kind	NN APPR NN	2021-08-18	1	14.3996774472252
3	impfung für kinder	impfung für kind	NN APPR NN	2021-08-26	1	14.2842858571286
3	impfung für kinder	impfung für kind	NN APPR NN	2021-09-06	1	13.9643350881848
3	impfung für kinder	impfung für kind	NN APPR NN	2021-09-10	2	23.4419869428133
3	impfungen für risikogruppen	impfung für risikogruppe	NN APPR NN	2020-12-01	1	13.1875667620567
3	impfungen für risikogruppen	impfung für risikogruppe	NN APPR NN	2021-08-02	1	13.6327075920549
3	impfung für leute	impfung für leute	NN APPR NN	2020-12-09	3	41.3992962119644
3	impfung für 90-jährige	impfung für 90-jährige	NN APPR NN	2020-12-08	2	33.3850802076552
3	impfungen für kinder	impfung für kind	NN APPR NN	2021-02-07	3	61.6928518548984
3	impfungen für kinder	impfung für kind	NN APPR NN	2021-02-08	1	13.2835642459585
3	impfungen für kinder	impfung für kind	NN APPR NN	2021-04-09	1	16.5856732954074
3	impfungen für kinder	impfung für kind	NN APPR NN	2021-04-29	3	38.0045098685044
3	impfungen für kinder	impfung für kind	NN APPR NN	2021-05-03	1	15.1625424551189
3	impfungen für kinder	impfung für kind	NN APPR NN	2021-05-06	1	12.9720193542529
3	impfungen für kinder	impfung für kind	NN APPR NN	2021-05-07	2	27.7924460131736
3	impfungen für kinder	impfung für kind	NN APPR NN	2021-05-19	1	12.6660840268014
3	impfungen für kinder	impfung für kind	NN APPR NN	2021-05-21	1	13.3698776656194
3	impfungen für kinder	impfung für kind	NN APPR NN	2021-05-24	2	42.0981729392944
3	impfungen für kinder	impfung für kind	NN APPR NN	2021-05-25	3	41.9170043314238
3	impfungen für kinder	impfung für kind	NN APPR NN	2021-05-26	9	117.557929935474
3	impfungen für kinder	impfung für kind	NN APPR NN	2021-05-27	17	212.795253414112
3	impfungen für kinder	impfung für kind	NN APPR NN	2021-05-28	11	146.553332089851
3	impfungen für kinder	impfung für kind	NN APPR NN	2021-05-31	2	27.98376941374
3	impfungen für kinder	impfung für kind	NN APPR NN	2021-06-03	1	16.0464705787962
3	impfungen für kinder	impfung für kind	NN APPR NN	2021-07-12	1	14.4487790781679
3	impfungen für kinder	impfung für kind	NN APPR NN	2021-07-19	1	14.5976877262642
3	impfungen für kinder	impfung für kind	NN APPR NN	2021-07-22	2	27.4796993720889
3	impfungen für kinder	impfung für kind	NN APPR NN	2021-07-28	2	26.7920534769387
3	impfungen für kinder	impfung für kind	NN APPR NN	2021-07-30	2	26.5688931399118
3	impfungen für kinder	impfung für kind	NN APPR NN	2021-08-01	3	59.5308965353018
3	impfungen für kinder	impfung für kind	NN APPR NN	2021-08-02	4	54.5308303682194
3	impfungen für kinder	impfung für kind	NN APPR NN	2021-08-03	2	27.4096509380953
3	impfungen für kinder	impfung für kind	NN APPR NN	2021-08-04	2	28.4802916381864
3	impfungen für kinder	impfung für kind	NN APPR NN	2021-08-05	1	13.6729699057932
3	impfungen für kinder	impfung für kind	NN APPR NN	2021-08-08	2	42.7094900486888
3	impfungen für kinder	impfung für kind	NN APPR NN	2021-08-10	1	14.027999887776
3	impfungen für kinder	impfung für kind	NN APPR NN	2021-08-16	2	29.3923139099126
3	impfungen für kinder	impfung für kind	NN APPR NN	2021-08-17	2	28.5322985619722
3	impfungen für kinder	impfung für kind	NN APPR NN	2021-08-19	1	14.6606069491277
3	impfungen für kinder	impfung für kind	NN APPR NN	2021-09-01	1	14.2399430402278
3	impfungen für ärzte	impfung für arzt	NN APPR NN	2021-02-16	1	12.9113891363572
3	impfungen für sportler	impfung für sportler	NN APPR NN	2021-02-16	1	12.9113891363572
3	impfung für krebskranke	impfung für krebskranke	NN APPR NN	2021-02-02	1	13.3639813973379
3	impfung für soldaten	impfung für soldat	NN APPR NN	2021-02-02	1	13.3639813973379
3	impfung für lehrer	impfung für lehrer	NN APPR NN	2021-02-04	3	40.1069518716578
3	impfung für lehrer	impfung für lehrer	NN APPR NN	2021-02-06	1	21.0450996485468
3	impfung für lehrer	impfung für lehrer	NN APPR NN	2021-02-07	4	82.2571358065312
3	impfung für lehrer	impfung für lehrer	NN APPR NN	2021-02-10	2	25.0881220286255
3	impfung für lehrer	impfung für lehrer	NN APPR NN	2021-02-20	1	20.9463563813075
3	impfung für lehrer	impfung für lehrer	NN APPR NN	2021-02-23	2	25.9080781387637
3	impfung für kontakte	impfung für kontakt	NN APPR NN	2021-03-03	1	12.5453199683858
3	impfung für us-lehrer	impfung für us-lehrer	NN APPR NN	2021-03-03	1	12.5453199683858
3	impfung für tiere	impfung für tier	NN APPR NN	2021-03-05	1	12.8809542210887
3	impfungen für abgeordnete	impfung für abgeordnete	NN APPR NN	2021-03-05	1	12.8809542210887
3	impfungen für polizistinnen	impfung für polizistin	NN APPR NN	2021-02-23	1	12.9540390693818
3	impfung für krebskranken	impfung für krebskranke	NN APPR NN	2021-03-05	2	25.7619084421774
3	impfung für rathaus-mitarbeiter	impfung für rathaus-mitarbeiter	NN APPR NN	2021-03-16	1	13.4057242442523
3	impfungen für seniorinnen	impfung für seniorin	NN APPR NN	2021-03-16	1	13.4057242442523
3	impfungen für nicht-risikopatienten	impfung für nicht-risikopatienten	NN APPR NN	2020-12-10	2	30.1654575345772
3	impfungen für polizisten	impfung für polizist	NN APPR NN	2020-12-10	2	30.1654575345772
