N	Wortform	Lemma	POS	Datum	Frequenz	Frequenz (rel.)
3	impfung gegen influenza	impfung gegen influenza	NN APPR NN	2020-01-28	1	12.2966442457853
3	impfung gegen karl	impfung gegen karl	NN APPR NE	2020-05-21	1	18.3224009674228
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2020-07-08	1	12.379914826186
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2020-11-06	1	18.2858814709163
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2020-11-07	5	89.7923999712664
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2020-12-06	1	22.765560260438
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2020-12-08	3	50.0776203114828
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2020-12-14	2	25.8856114828573
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2020-12-15	1	15.5777798548151
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2020-12-17	1	14.3969823924905
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2020-12-27	6	144.864551644213
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2020-12-28	4	66.7211556104152
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2020-12-31	1	22.6623759234918
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2021-01-01	1	22.7894257064722
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2021-01-03	1	20.0734688961599
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2021-01-05	1	14.1446717021698
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2021-01-06	1	14.6468641063948
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2021-01-12	3	40.5663056265466
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2021-01-14	1	14.0982081177482
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2021-01-15	2	26.5805456986032
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2021-01-16	3	59.4659953616524
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2021-02-07	1	20.5642839516328
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2021-02-12	1	13.5801295544359
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2021-02-28	1	21.9799542816951
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2021-04-13	1	13.5486668111858
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2021-04-14	2	33.3967872290686
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2021-04-16	1	15.4249575813667
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2021-04-18	1	22.1322178695527
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2021-04-20	1	14.0676654709151
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2021-04-21	2	26.1574679571018
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2021-04-26	3	41.7182350405362
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2021-04-30	1	12.8940751724583
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2021-05-03	1	15.1625424551189
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2021-05-05	3	42.2797226450194
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2021-05-06	1	12.9720193542529
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2021-05-07	1	13.8962230065868
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2021-06-11	2	26.4141474173567
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2021-06-23	2	26.4211263326156
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2021-07-15	1	13.0958617077004
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2021-07-23	2	27.0965993767782
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2021-08-16	1	14.6961569549563
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2021-08-21	1	22.5723443636856
3	impfungen gegen corona	impfung gegen corona	NN APPR NE	2021-09-10	1	11.7209934714066
3	impfungen gegen fsme	impfung gegen fsme	NN APPR NN	2020-07-09	1	12.4822128466935
3	impfungen gegen covid-19	impfung gegen covid-19	NN APPR NN	2020-07-20	1	13.0066073565371
3	impfungen gegen covid-19	impfung gegen covid-19	NN APPR NN	2020-11-11	1	13.2550402290471
3	impfungen gegen covid-19	impfung gegen covid-19	NN APPR NN	2020-11-23	1	18.182809971453
3	impfungen gegen covid-19	impfung gegen covid-19	NN APPR NN	2020-12-11	1	14.4795331798503
3	impfungen gegen covid-19	impfung gegen covid-19	NN APPR NN	2020-12-16	1	14.1997046461434
3	impfungen gegen covid-19	impfung gegen covid-19	NN APPR NN	2020-12-26	7	195.765864026624
3	impfungen gegen covid-19	impfung gegen covid-19	NN APPR NN	2020-12-27	1	24.1440919407021
3	impfungen gegen covid-19	impfung gegen covid-19	NN APPR NN	2020-12-28	1	16.6802889026038
3	impfungen gegen covid-19	impfung gegen covid-19	NN APPR NN	2020-12-30	2	29.9603025990562
3	impfungen gegen covid-19	impfung gegen covid-19	NN APPR NN	2021-01-16	4	79.2879938155365
3	impfungen gegen covid-19	impfung gegen covid-19	NN APPR NN	2021-02-21	2	40.682654950062
3	impfungen gegen covid-19	impfung gegen covid-19	NN APPR NN	2021-03-26	1	13.3870600677385
3	impfungen gegen covid-19	impfung gegen covid-19	NN APPR NN	2021-04-20	1	14.0676654709151
3	impfungen gegen covid-19	impfung gegen covid-19	NN APPR NN	2021-04-23	1	14.0639063906391
3	impfungen gegen covid-19	impfung gegen covid-19	NN APPR NN	2021-04-25	1	21.2345783874461
3	impfungen gegen covid-19	impfung gegen covid-19	NN APPR NN	2021-05-01	1	21.9399284758332
3	impfungen gegen covid-19	impfung gegen covid-19	NN APPR NN	2021-05-08	1	19.8389080665
3	impfungen gegen covid-19	impfung gegen covid-19	NN APPR NN	2021-05-10	2	29.0301042180741
3	impfungen gegen covid-19	impfung gegen covid-19	NN APPR NN	2021-05-12	2	28.9381158392777
3	impfungen gegen covid-19	impfung gegen covid-19	NN APPR NN	2021-06-02	1	13.9600463473539
3	impfungen gegen covid-19	impfung gegen covid-19	NN APPR NN	2021-09-07	1	13.7046376493806
3	impfungen gegen diphtherie	impfung gegen diphtherie	NN APPR NN	2020-07-15	1	12.0418091614084
3	impfungen gegen diphtherie	impfung gegen diphtherie	NN APPR NN	2021-03-13	1	22.5336878633557
3	impfung gegen masern	impfung gegen maser	NN APPR NN	2020-08-29	1	21.4744346855069
3	impfung gegen grippe	impfung gegen grippe	NN APPR NN	2020-09-27	2	39.7725012926063
3	impfung gegen grippe	impfung gegen grippe	NN APPR NN	2021-06-15	1	12.6924492619341
3	impfung gegen hp-viren	impfung gegen hp-viren	NN APPR NN	2020-10-03	1	20.7099366275939
3	impfung gegen hp-viren	impfung gegen hp-viren	NN APPR NN	2020-10-18	3	67.1847356280653
3	impfung gegen polio	impfung gegen polio	NN APPR NN	2020-10-24	1	22.0706702862566
3	impfungen gegen masern	impfung gegen maser	NN APPR NN	2020-02-28	1	12.4402866242038
3	impfungen gegen keuchhusten	impfung gegen keuchhusten	NN APPR NN	2020-02-26	1	13.0442722600506
3	impfung gegen tollwut	impfung gegen tollwut	NN APPR NN	2020-01-23	1	12.5748201800714
3	impfung gegen gebärmutterhalskrebs	impfung gegen gebärmutterhalskrebs	NN APPR NN	2020-02-04	1	12.2523493879951
3	impfung gegen gebärmutterhalskrebs	impfung gegen gebärmutterhalskrebs	NN APPR NN	2020-12-22	4	55.2379374154169
3	impfung gegen sars-cov-2	impfung gegen sars-cov-2	NN APPR NE	2020-05-05	1	11.7256663109881
3	impfung gegen sars-cov-2	impfung gegen sars-cov-2	NN APPR NE	2020-05-19	1	12.7586822832938
3	impfung gegen sars-cov-2	impfung gegen sars-cov-2	NN APPR NE	2020-07-17	1	14.8378959863491
3	impfung gegen sars-cov-2	impfung gegen sars-cov-2	NN APPR NE	2021-01-30	1	21.1945233351702
3	impfung gegen sars-cov-2	impfung gegen sars-cov-2	NN APPR NE	2021-05-19	1	12.6660840268014
3	impfung gegen keuchhusten	impfung gegen keuchhusten	NN APPR NN	2020-04-03	1	12.3199743744533
3	impfung gegen pneumokokken	impfung gegen pneumokokken	NN APPR NN	2020-03-09	1	12.8650456709121
3	impfung gegen pneumokokken	impfung gegen pneumokokken	NN APPR NN	2021-05-10	1	14.5150521090371
3	impfung gegen pneumokokken	impfung gegen pneumokokken	NN APPR NN	2021-06-01	1	14.8271158294289
3	impfung gegen covid-19	impfung gegen covid-19	NN APPR NN	2020-03-25	1	12.2128454708663
3	impfung gegen covid-19	impfung gegen covid-19	NN APPR NN	2020-05-21	1	18.3224009674228
3	impfung gegen covid-19	impfung gegen covid-19	NN APPR NN	2020-08-10	1	14.1402714932127
3	impfung gegen covid-19	impfung gegen covid-19	NN APPR NN	2020-11-14	2	47.5183539642187
3	impfung gegen covid-19	impfung gegen covid-19	NN APPR NN	2020-11-30	1	14.6993973247097
3	impfung gegen covid-19	impfung gegen covid-19	NN APPR NN	2020-12-14	2	25.8856114828573
3	impfung gegen covid-19	impfung gegen covid-19	NN APPR NN	2020-12-15	1	15.5777798548151
3	impfung gegen covid-19	impfung gegen covid-19	NN APPR NN	2020-12-17	1	14.3969823924905
3	impfung gegen covid-19	impfung gegen covid-19	NN APPR NN	2020-12-18	2	25.8698745311085
3	impfung gegen covid-19	impfung gegen covid-19	NN APPR NN	2020-12-19	3	63.2871337257136
3	impfung gegen covid-19	impfung gegen covid-19	NN APPR NN	2020-12-26	1	27.9665520038035
