N	Wortform	Lemma	POS	Datum	Frequenz	Frequenz (rel.)
3	impfung mit app	impfung mit app	NN APPR NN	2020-11-13	1	13.8475386000138
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-02-06	1	21.0450996485468
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-02-17	1	12.5555583456796
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-02-23	1	12.9540390693818
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-03-02	1	13.0067765305724
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-03-07	2	43.3623138130651
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-03-12	1	17.3178165696869
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-03-14	1	18.8047688893903
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-03-15	4	58.2495995340032
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-03-16	2	26.8114484885046
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-03-18	1	13.3294233691451
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-03-19	2	25.5460467492655
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-03-20	3	62.2006593269889
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-03-21	2	40.642971814099
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-03-26	2	26.774120135477
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-03-27	1	32.4054570789721
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-03-30	5	68.8714720588438
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-03-31	1	14.5085237577077
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-04-01	2	30.1604536132223
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-04-02	1	21.9158868263604
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-04-03	1	23.1406488637941
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-04-04	2	50.5970451325643
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-04-06	1	15.1775008727063
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-04-15	1	16.5708320214758
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-04-20	2	28.1353309418302
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-04-21	1	13.0787339785509
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-04-22	6	80.3955460867468
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-04-28	6	81.7739495454731
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-04-29	2	25.3363399123363
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-04-30	1	12.8940751724583
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-05-01	1	21.9399284758332
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-05-05	2	28.1864817633463
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-05-07	1	13.8962230065868
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-05-17	1	13.5854798391479
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-05-18	5	72.5426187885383
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-05-24	2	42.0981729392944
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-06-02	2	27.9200926947077
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-06-07	2	24.8049709161716
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-06-10	2	27.8253126869513
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-06-11	1	13.2070737086784
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-07-02	5	68.3947746392176
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-07-03	1	21.8641362572972
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-07-05	3	43.4782608695652
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-07-08	1	13.4044663681939
3	impfung mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-07-30	4	53.1377862798236
3	impfungen mit astrazeneca	impfung mit astrazeneca	NN APPR NE	2021-02-08	1	13.2835642459585
