N	Wortform	Lemma	POS	Datum	Frequenz	Frequenz (rel.)
3	impfung von kindern	impfung von kind	NN APPR NN	2020-06-04	1	11.7640138815364
3	impfung von kindern	impfung von kind	NN APPR NN	2021-02-16	1	12.9113891363572
3	impfung von kindern	impfung von kind	NN APPR NN	2021-04-29	4	50.6726798246725
3	impfung von kindern	impfung von kind	NN APPR NN	2021-04-30	2	25.7881503449165
3	impfung von kindern	impfung von kind	NN APPR NN	2021-05-06	3	38.9160580627586
3	impfung von kindern	impfung von kind	NN APPR NN	2021-05-08	2	39.677816133
3	impfung von kindern	impfung von kind	NN APPR NN	2021-05-13	3	59.9784077732016
3	impfung von kindern	impfung von kind	NN APPR NN	2021-05-19	2	25.3321680536029
3	impfung von kindern	impfung von kind	NN APPR NN	2021-05-25	4	55.889339108565
3	impfung von kindern	impfung von kind	NN APPR NN	2021-05-26	10	130.619922150526
3	impfung von kindern	impfung von kind	NN APPR NN	2021-05-27	23	287.899460501446
3	impfung von kindern	impfung von kind	NN APPR NN	2021-05-28	5	66.615150949932
3	impfung von kindern	impfung von kind	NN APPR NN	2021-05-29	1	30.8251903455504
3	impfung von kindern	impfung von kind	NN APPR NN	2021-05-30	4	88.3197173769044
3	impfung von kindern	impfung von kind	NN APPR NN	2021-05-31	2	27.98376941374
3	impfung von kindern	impfung von kind	NN APPR NN	2021-06-01	1	14.8271158294289
3	impfung von kindern	impfung von kind	NN APPR NN	2021-06-04	1	13.9651151423743
3	impfung von kindern	impfung von kind	NN APPR NN	2021-06-06	4	69.1276095672612
3	impfung von kindern	impfung von kind	NN APPR NN	2021-06-08	1	14.801657785672
3	impfung von kindern	impfung von kind	NN APPR NN	2021-06-09	1	13.1698515757727
3	impfung von kindern	impfung von kind	NN APPR NN	2021-06-10	2	27.8253126869513
3	impfung von kindern	impfung von kind	NN APPR NN	2021-06-11	1	13.2070737086784
3	impfung von kindern	impfung von kind	NN APPR NN	2021-07-02	2	27.357909855687
3	impfung von kindern	impfung von kind	NN APPR NN	2021-07-06	5	69.8724129739096
3	impfung von kindern	impfung von kind	NN APPR NN	2021-07-07	1	13.2536348093465
3	impfung von kindern	impfung von kind	NN APPR NN	2021-07-17	7	141.117651802274
3	impfung von kindern	impfung von kind	NN APPR NN	2021-07-18	1	19.4795075580489
3	impfung von kindern	impfung von kind	NN APPR NN	2021-07-26	1	13.9419457379472
3	impfung von kindern	impfung von kind	NN APPR NN	2021-08-01	2	39.6872643568679
3	impfung von kindern	impfung von kind	NN APPR NN	2021-08-02	4	54.5308303682194
3	impfung von kindern	impfung von kind	NN APPR NN	2021-08-03	8	109.638603752381
3	impfung von kindern	impfung von kind	NN APPR NN	2021-08-07	2	43.1834866347109
3	impfung von kindern	impfung von kind	NN APPR NN	2021-08-13	1	13.679142044211
3	impfung von kindern	impfung von kind	NN APPR NN	2021-08-16	2	29.3923139099126
3	impfung von kindern	impfung von kind	NN APPR NN	2021-09-06	1	13.9643350881848
3	impfung von kindern	impfung von kind	NN APPR NN	2021-09-07	7	95.9324635456639
3	impfung von kindern	impfung von kind	NN APPR NN	2021-09-11	2	38.8364596683366
3	impfung von jungen	impfung von junge	NN APPR NN	2020-07-14	1	14.1043723554302
3	impfung von hauskaninchen	impfung von hauskaninchen	NN APPR NN	2020-09-04	2	27.0562770562771
3	impfungen von kommunalpolitikern	impfung von kommunalpolitiker	NN APPR NN	2021-02-15	2	28.9599050115116
3	impfungen von gesundheitspersonal	impfung von gesundheitspersonal	NN APPR NN	2021-01-20	1	12.2609122118686
3	impfung von polizei	impfung von polizei	NN APPR NN	2021-01-19	1	12.8442252363337
3	impfungen von lehrern	impfung von lehrer	NN APPR NN	2021-03-03	1	12.5453199683858
3	impfungen von lehrern	impfung von lehrer	NN APPR NN	2021-03-21	2	40.642971814099
3	impfung von besc	impfung von besc	NN APPR NE	2021-03-05	1	12.8809542210887
3	impfung von halles	impfung von hall	NN APPR NN	2021-02-22	1	13.3704139480158
3	impfung von halles	impfung von hall	NN APPR NN	2021-02-23	1	12.9540390693818
3	impfungen von amtsträgern	impfung von amtsträger	NN APPR NN	2021-02-24	2	27.0248358241224
3	impfungen von familienangehör	impfung von familienangehör	NN APPR NN	2021-03-01	1	13.2236650710111
3	impfungen von polizisten	impfung von polizist	NN APPR NN	2021-03-02	4	52.0271061222897
3	impfung von astrazeneca	impfung von astrazeneca	NN APPR NE	2021-03-15	2	29.1247997670016
3	impfung von astrazeneca	impfung von astrazeneca	NN APPR NE	2021-03-17	3	38.4196708714862
3	impfung von astrazeneca	impfung von astrazeneca	NN APPR NE	2021-05-04	1	13.0407000247773
3	impfung von astrazeneca	impfung von astrazeneca	NN APPR NE	2021-05-05	2	28.1864817633463
3	impfungen von obdachlosen	impfung von obdachlosen	NN APPR NN	2021-03-15	1	14.5623998835008
3	impfungen von obdachlosen	impfung von obdachlosen	NN APPR NN	2021-03-24	1	15.7629255989912
3	impfung von patienten	impfung von patient	NN APPR NN	2021-01-17	2	39.4057611222761
3	impfung von jugendlichen	impfung von jugendliche	NN APPR NN	2020-12-14	2	25.8856114828573
3	impfung von jugendlichen	impfung von jugendliche	NN APPR NN	2021-01-24	5	104.257892322449
3	impfung von jugendlichen	impfung von jugendliche	NN APPR NN	2021-04-12	1	14.5930011966261
3	impfung von jugendlichen	impfung von jugendliche	NN APPR NN	2021-05-04	2	26.0814000495547
3	impfung von jugendlichen	impfung von jugendliche	NN APPR NN	2021-05-05	1	14.0932408816731
3	impfung von jugendlichen	impfung von jugendliche	NN APPR NN	2021-05-06	1	12.9720193542529
3	impfung von jugendlichen	impfung von jugendliche	NN APPR NN	2021-05-08	2	39.677816133
3	impfung von jugendlichen	impfung von jugendliche	NN APPR NN	2021-05-13	2	39.9856051821344
3	impfung von jugendlichen	impfung von jugendliche	NN APPR NN	2021-05-25	1	13.9723347771413
3	impfung von jugendlichen	impfung von jugendliche	NN APPR NN	2021-05-26	2	26.1239844301053
3	impfung von jugendlichen	impfung von jugendliche	NN APPR NN	2021-05-28	2	26.6460603799728
3	impfung von jugendlichen	impfung von jugendliche	NN APPR NN	2021-06-09	1	13.1698515757727
3	impfung von jugendlichen	impfung von jugendliche	NN APPR NN	2021-06-20	1	19.321431331633
3	impfung von jugendlichen	impfung von jugendliche	NN APPR NN	2021-07-29	2	26.5055131467345
3	impfung von jugendlichen	impfung von jugendliche	NN APPR NN	2021-08-02	1	13.6327075920549
3	impfung von jugendlichen	impfung von jugendliche	NN APPR NN	2021-08-03	1	13.7048254690477
3	impfung von jugendlichen	impfung von jugendliche	NN APPR NN	2021-08-04	1	14.2401458190932
3	impfung von jugendlichen	impfung von jugendliche	NN APPR NN	2021-08-16	2	29.3923139099126
3	impfungen von pfizer	impfung von pfizer	NN APPR NE	2020-12-11	1	14.4795331798503
3	impfung von spitzenpolitikern	impfung von spitzenpolitiker	NN APPR NN	2021-01-24	1	20.8515784644898
3	impfung von spitzenpolitikern	impfung von spitzenpolitiker	NN APPR NN	2021-01-25	3	41.3781688780999
3	impfungen von jugendlichen	impfung von jugendliche	NN APPR NN	2021-01-24	1	20.8515784644898
3	impfungen von jugendlichen	impfung von jugendliche	NN APPR NN	2021-05-06	1	12.9720193542529
3	impfungen von jugendlichen	impfung von jugendliche	NN APPR NN	2021-05-24	1	21.0490864696472
3	impfungen von jugendlichen	impfung von jugendliche	NN APPR NN	2021-05-25	1	13.9723347771413
